,0
2025-01-10 04:00:00+02:00,50.94
2025-01-10 05:00:00+02:00,52.86
2025-01-10 06:00:00+02:00,62.85
2025-01-10 07:00:00+02:00,101.21
2025-01-10 08:00:00+02:00,125.63
2025-01-10 09:00:00+02:00,141.3
2025-01-10 10:00:00+02:00,137.3
2025-01-10 11:00:00+02:00,124.76
2025-01-10 12:00:00+02:00,115.15
2025-01-10 13:00:00+02:00,110.32
2025-01-10 14:00:00+02:00,105.01
2025-01-10 15:00:00+02:00,110.01
2025-01-10 16:00:00+02:00,125.66
2025-01-10 17:00:00+02:00,129.91
2025-01-10 18:00:00+02:00,138.25
2025-01-10 19:00:00+02:00,135.95
2025-01-10 20:00:00+02:00,96.03
2025-01-10 21:00:00+02:00,55.09
2025-01-10 22:00:00+02:00,46.82
2025-01-10 23:00:00+02:00,40.47
2025-01-11 00:00:00+02:00,32.06
2025-01-11 01:00:00+02:00,26.79
2025-01-11 02:00:00+02:00,22.01
2025-01-11 03:00:00+02:00,17.58
2025-01-11 04:00:00+02:00,15.74
2025-01-11 05:00:00+02:00,20.23
2025-01-11 06:00:00+02:00,25.27
2025-01-11 07:00:00+02:00,27.47
2025-01-11 08:00:00+02:00,35.44
2025-01-11 09:00:00+02:00,38.83
2025-01-11 10:00:00+02:00,41.11
2025-01-11 11:00:00+02:00,42.7
2025-01-11 12:00:00+02:00,42.81
2025-01-11 13:00:00+02:00,42.26
2025-01-11 14:00:00+02:00,44.85
2025-01-11 15:00:00+02:00,44.74
2025-01-11 16:00:00+02:00,45.34
2025-01-11 17:00:00+02:00,47.88
2025-01-11 18:00:00+02:00,51.56
2025-01-11 19:00:00+02:00,48.25
2025-01-11 20:00:00+02:00,45.58
2025-01-11 21:00:00+02:00,43.34
2025-01-11 22:00:00+02:00,43.52
2025-01-11 23:00:00+02:00,41.27
2025-01-12 00:00:00+02:00,35.14
2025-01-12 01:00:00+02:00,30.75
2025-01-12 02:00:00+02:00,26.15
2025-01-12 03:00:00+02:00,25.16
2025-01-12 04:00:00+02:00,30.35
2025-01-12 05:00:00+02:00,34.34
2025-01-12 06:00:00+02:00,35.51
2025-01-12 07:00:00+02:00,36.0
2025-01-12 08:00:00+02:00,36.66
2025-01-12 09:00:00+02:00,39.83
2025-01-12 10:00:00+02:00,55.0
